Category,Product Group,Item Code,Item Name,OEMCode,BBH Code,ISBN,HSNCode,Brand,Size,RSP,MRP,OSP,Vendor,CreateDate,LastModifiedDate,GST%,CESS
NON BOOKS,STATIONERY,WP06534,FOOTY LUNCH BOX,"SC0000062,BBH24156",BBH24156,SC0000062,3926.0,SCOOBIES,SC0000062,549.0,549.0,549.0,SCOOBIES,18.Jan.22,18.Jan.22,12,0
NON BOOKS,STATIONERY,WP06535,OWL CHARM EARBUDS,"SC0000064,BBH24158",BBH24158,SC0000064,8518.0,SCOOBIES,SC0000064,599.0,599.0,599.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06536,SCOOTER CHARM EARBUDS,"SC0000066,BBH24160",BBH24160,SC0000066,8518.0,SCOOBIES,SC0000066,599.0,599.0,599.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06537,ROBOT CHARM EARBUDS,"SC0000067,BBH24161",BBH24161,SC0000067,8518.0,SCOOBIES,SC0000067,599.0,599.0,599.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06538,CALCI EVA CASE,"SC0000074,BBH24168",BBH24168,SC0000074,3901.0,SCOOBIES,SC0000074,1199.0,1199.0,1199.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06539,SWEETIE EVA CASE,"SC0000076,BBH24170",BBH24170,SC0000076,3901.0,SCOOBIES,SC0000076,949.0,949.0,949.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06540,MISS DELIGHT LUNCHBAG,"SC0000078,BBH24172",BBH24172,SC0000078,4202.0,SCOOBIES,SC0000078,999.0,999.0,999.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06541,FLOWERY BABE LUNCHBAG,"SC0000079,BBH24173",BBH24173,SC0000079,4202.0,SCOOBIES,SC0000079,999.0,999.0,999.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06542,FLOWERY BABE BAG,"SC0000083,BBH24177",BBH24177,SC0000083,4202.0,SCOOBIES,SC0000083,1799.0,1799.0,1799.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06543,MISS OOLALA BAG,"SC0000086,BBH24180",BBH24180,SC0000086,4202.0,SCOOBIES,SC0000086,1449.0,1449.0,1449.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06544,SPEEDY SCOOTER BAG,"SC0000089,BBH24183",BBH24183,SC0000089,4202.0,SCOOBIES,SC0000089,1449.0,1449.0,1449.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06545,COLORED GLUE STICKS SC0000099,"SC0000099,BBH24193",BBH24193,SC0000099,3506.0,SCOOBIES,SC0000099,99.0,99.0,99.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06546,COLORED GLUE STICKS SC0000100,"SC0000100,BBH24194",BBH24194,SC0000100,3506.0,SCOOBIES,SC0000100,99.0,99.0,99.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06547,COLORED GLUE STICKS SC0000101,"SC0000101,BBH24195",BBH24195,SC0000101,3506.0,SCOOBIES,SC0000101,99.0,99.0,99.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06548,SS BOTTLES (BOYS),"SC0000132,BBH24209",BBH24209,SC0000132,7323.0,SCOOBIES,SC0000132,999.0,999.0,999.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06549,STRAW-BERRY SCENTED RULERS,"SC0000133,BBH24210",BBH24210,SC0000133,3926.0,SCOOBIES,SC0000133,249.0,249.0,249.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06550,YOU ARE SO PUNNY STICKERBOOK,"SC0000140,BBH24216",BBH24216,SC0000140,4820.0,SCOOBIES,SC0000140,189.0,189.0,189.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
NON BOOKS,STATIONERY,WP06551,BIG RIGS STICKERBOOK,"SC0000142,BBH24218",BBH24218,SC0000142,4820.0,SCOOBIES,SC0000142,189.0,189.0,189.0,SCOOBIES,18.Jan.22,18.Jan.22,18,0
